98415;86712;
21839;96206;
14958;40971;
91380;63825;
48482;40971;
47618;98239;
69295;72055;
73790;20692;
95008;91254;
30041;73739;
46680;55405;
12873;14682;
47722;74915;
81092;16759;
64463;31849;
82981;43091;
52948;63825;
86073;90988;
37341;87339;
76759;85103;
92565;20139;
70507;99102;
10215;32134;
80264;72821;
45235;31963;
41003;84233;
88490;76750;
87607;20692;
59690;33244;
76224;26934;
70928;58112;
12896;13883;
45046;97624;
14802;36874;
26477;90988;
99942;42762;
97700;68810;
31112;62593;
63110;73448;
15702;58189;
44444;28782;
56091;79236;
88976;38094;
33509;84823;
55932;52315;
37002;55140;
49031;69737;
62442;84713;
91598;28894;
96109;43306;
10029;65760;
81145;78422;
57749;88707;
30352;38306;
58767;84823;
65644;83417;
14392;60859;
38548;23806;
45420;84823;
86410;24207;
86074;38732;
34418;40971;
69259;84823;
76444;61427;
52200;60859;
80383;46070;
24950;29096;
92504;56091;
63952;37106;
21571;67919;
30674;98750;
73909;62113;
51915;81880;
58884;64362;
35784;90988;
77693;46396;
43415;40971;
17619;43889;
61513;58139;
86035;43930;
79559;90195;
74180;41607;
62739;98079;
53632;57293;
21594;96012;
56752;20348;
49825;90988;
27016;54248;
79239;60318;
79102;46726;
15178;47103;
69131;73658;
77863;72055;
57745;74229;
75083;30406;
30789;88659;
59510;68773;
37256;87339;
89551;24882;
24912;11151;
65718;87339;
18607;72055;
89744;34103;
13502;63777;
74252;93822;
26823;88948;
12926;20361;
57362;37728;
42529;72897;
55701;90106;
80515;90673;
53130;98750;
11755;39123;
15567;16982;
45347;73739;
56219;84823;
80487;63515;
57918;85690;
24138;78136;
89383;68948;
33043;72055;
74588;28108;
83590;64739;
71034;65419;
75815;23490;
20112;76750;
14438;82344;
10441;40971;
73704;18644;
73739;51191;
17858;91254;
45052;90988;
71745;63825;
61105;71049;
69625;64414;
72147;79179;
39613;42434;
49486;16939;
37159;88707;
81789;21633;
43834;31963;
96281;51697;
67908;31849;
25034;44271;
65569;75978;
58832;33079;
73347;31849;
77421;84823;
11586;91254;
67679;36415;
39964;22528;
37638;61931;
26753;90315;
90409;39489;
55746;76750;
44727;95445;
90778;60859;
32071;78505;
60089;50682;
32309;11406;
19358;80132;
48376;87339;
45291;47907;
56391;84233;
76798;48120;
78422;60859;
58146;21303;
53529;63825;
98604;91254;
34637;49452;
94181;39489;
27144;99118;
49195;80934;
98493;70617;
78396;98075;
59508;31032;
14533;87339;
65929;90988;
12476;17041;
18406;31963;
84233;66617;
12813;20863;
87866;98750;
92020;16503;
86199;29241;
14865;64023;
77251;18843;
29087;16712;
89093;67919;
84823;52315;
97124;63689;
21993;38094;
52548;98181;
64426;38094;
39508;81972;
88707;37155;
77577;41917;
69880;57192;
44717;79597;
60859;67919;
12172;39516;
52315;77348;
34818;40971;
68237;47371;
90048;31492;
91780;91254;
